event_id,site_id,treatment_id,study_year,calendar_year,event_type,crop_or_material,approx_month,approx_doy,exact_date_known,amount,amount_unit,amount_basis,notes
ev_y1_013,white_salinas_usda,sys4_annual_mustard,1,2004,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Transplanted romaine lettuce
ev_y1_014,white_salinas_usda,sys5_annual_rye,1,2004,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Transplanted romaine lettuce
ev_y1_015,white_salinas_usda,sys1_control,1,2004,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,Harvested component=head; stover left in field (inferred from standard practice)
ev_y1_016,white_salinas_usda,sys2_quad_compost,1,2004,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,Harvested component=head; stover left in field (inferred from standard practice)
ev_y1_017,white_salinas_usda,sys3_annual_legumerye,1,2004,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,Harvested component=head; stover left in field (inferred from standard practice)
ev_y1_018,white_salinas_usda,sys4_annual_mustard,1,2004,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,Harvested component=head; stover left in field (inferred from standard practice)
ev_y1_019,white_salinas_usda,sys5_annual_rye,1,2004,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,Harvested component=head; stover left in field (inferred from standard practice)
ev_y1_020,white_salinas_usda,sys1_control,1,2004,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted after lettuce harvest
ev_y1_021,white_salinas_usda,sys2_quad_compost,1,2004,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted after lettuce harvest
ev_y1_022,white_salinas_usda,sys3_annual_legumerye,1,2004,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted after lettuce harvest
ev_y1_023,white_salinas_usda,sys4_annual_mustard,1,2004,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted after lettuce harvest
ev_y1_024,white_salinas_usda,sys5_annual_rye,1,2004,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted after lettuce harvest
ev_y1_025,white_salinas_usda,sys1_control,1,2004,harvest,broccoli,October,274,FALSE,NA,NA,NA,Harvested component=head/floret; stover left in field (inferred)
ev_y1_026,white_salinas_usda,sys2_quad_compost,1,2004,harvest,broccoli,October,274,FALSE,NA,NA,NA,Harvested component=head/floret; stover left in field (inferred)
ev_y1_027,white_salinas_usda,sys3_annual_legumerye,1,2004,harvest,broccoli,October,274,FALSE,NA,NA,NA,Harvested component=head/floret; stover left in field (inferred)
ev_y1_028,white_salinas_usda,sys4_annual_mustard,1,2004,harvest,broccoli,October,274,FALSE,NA,NA,NA,Harvested component=head/floret; stover left in field (inferred)
ev_y1_029,white_salinas_usda,sys5_annual_rye,1,2004,harvest,broccoli,October,274,FALSE,NA,NA,NA,Harvested component=head/floret; stover left in field (inferred)
ev_y1_030,white_salinas_usda,sys2_quad_compost,1,2004,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Before cover crop / fallow; second annual application
ev_y1_031,white_salinas_usda,sys3_annual_legumerye,1,2004,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Before cover crop planting; second annual application
ev_y1_032,white_salinas_usda,sys4_annual_mustard,1,2004,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Before cover crop planting; second annual application
ev_y1_033,white_salinas_usda,sys5_annual_rye,1,2004,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Before cover crop planting; second annual application
ev_y1_034,white_salinas_usda,sys1_control,1,2004,tillage,NA,October,283,FALSE,NA,NA,NA,Deep subsoiling to ~1m after broccoli harvest
ev_y1_035,white_salinas_usda,sys2_quad_compost,1,2004,tillage,NA,October,283,FALSE,NA,NA,NA,Deep subsoiling to ~1m after broccoli harvest
ev_y1_036,white_salinas_usda,sys3_annual_legumerye,1,2004,tillage,NA,October,283,FALSE,NA,NA,NA,Deep subsoiling to ~1m after broccoli harvest
ev_y1_037,white_salinas_usda,sys4_annual_mustard,1,2004,tillage,NA,October,283,FALSE,NA,NA,NA,Deep subsoiling to ~1m after broccoli harvest
ev_y1_038,white_salinas_usda,sys5_annual_rye,1,2004,tillage,NA,October,283,FALSE,NA,NA,NA,Deep subsoiling to ~1m after broccoli harvest
# Annual systems plant cover crop every fall; quadrennial sys1/sys2 skip Years 1-3
ev_y1_039,white_salinas_usda,sys3_annual_legumerye,1,2004,cover_crop_planting,legume-rye,October,288,FALSE,NA,NA,NA,Annual system: cover crop for Year 2 season
ev_y1_040,white_salinas_usda,sys4_annual_mustard,1,2004,cover_crop_planting,mustard,October,288,FALSE,NA,NA,NA,Annual system: cover crop for Year 2 season
ev_y1_041,white_salinas_usda,sys5_annual_rye,1,2004,cover_crop_planting,rye,October,288,FALSE,NA,NA,NA,Annual system: cover crop for Year 2 season
# YEAR 2 (veg season 2005) - sys1/sys2 fallow winter; sys3-5 incorporate cover crop
ev_y2_001,white_salinas_usda,sys3_annual_legumerye,2,2005,tillage,NA,February,46,FALSE,NA,NA,NA,Spader tillage; cover crop incorporated
ev_y2_002,white_salinas_usda,sys4_annual_mustard,2,2005,tillage,NA,February,46,FALSE,NA,NA,NA,Spader tillage; cover crop incorporated
ev_y2_003,white_salinas_usda,sys5_annual_rye,2,2005,tillage,NA,February,46,FALSE,NA,NA,NA,Spader tillage; cover crop incorporated
ev_y2_004,white_salinas_usda,sys2_quad_compost,2,2005,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,Before lettuce
ev_y2_005,white_salinas_usda,sys3_annual_legumerye,2,2005,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,Before lettuce
ev_y2_006,white_salinas_usda,sys4_annual_mustard,2,2005,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,Before lettuce
ev_y2_007,white_salinas_usda,sys5_annual_rye,2,2005,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,Before lettuce
ev_y2_008,white_salinas_usda,sys1_control,2,2005,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Transplanted romaine lettuce
ev_y2_009,white_salinas_usda,sys2_quad_compost,2,2005,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Transplanted romaine lettuce
ev_y2_010,white_salinas_usda,sys3_annual_legumerye,2,2005,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Transplanted romaine lettuce
ev_y2_011,white_salinas_usda,sys4_annual_mustard,2,2005,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Transplanted romaine lettuce
ev_y2_012,white_salinas_usda,sys5_annual_rye,2,2005,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Transplanted romaine lettuce
ev_y2_013,white_salinas_usda,sys1_control,2,2005,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left in field
ev_y2_014,white_salinas_usda,sys2_quad_compost,2,2005,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left in field
ev_y2_015,white_salinas_usda,sys3_annual_legumerye,2,2005,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left in field
ev_y2_016,white_salinas_usda,sys4_annual_mustard,2,2005,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left in field
ev_y2_017,white_salinas_usda,sys5_annual_rye,2,2005,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left in field
ev_y2_018,white_salinas_usda,sys1_control,2,2005,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y2_019,white_salinas_usda,sys2_quad_compost,2,2005,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y2_020,white_salinas_usda,sys3_annual_legumerye,2,2005,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y2_021,white_salinas_usda,sys4_annual_mustard,2,2005,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y2_022,white_salinas_usda,sys5_annual_rye,2,2005,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y2_023,white_salinas_usda,sys1_control,2,2005,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y2_024,white_salinas_usda,sys2_quad_compost,2,2005,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y2_025,white_salinas_usda,sys3_annual_legumerye,2,2005,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y2_026,white_salinas_usda,sys4_annual_mustard,2,2005,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y2_027,white_salinas_usda,sys5_annual_rye,2,2005,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y2_028,white_salinas_usda,sys2_quad_compost,2,2005,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Second annual application
ev_y2_029,white_salinas_usda,sys3_annual_legumerye,2,2005,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Second annual application
ev_y2_030,white_salinas_usda,sys4_annual_mustard,2,2005,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Second annual application
ev_y2_031,white_salinas_usda,sys5_annual_rye,2,2005,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Second annual application
ev_y2_032,white_salinas_usda,sys1_control,2,2005,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
ev_y2_033,white_salinas_usda,sys2_quad_compost,2,2005,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
ev_y2_034,white_salinas_usda,sys3_annual_legumerye,2,2005,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
ev_y2_035,white_salinas_usda,sys4_annual_mustard,2,2005,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
ev_y2_036,white_salinas_usda,sys5_annual_rye,2,2005,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
ev_y2_037,white_salinas_usda,sys3_annual_legumerye,2,2005,cover_crop_planting,legume-rye,October,288,FALSE,NA,NA,NA,Annual: cover crop for Year 3
ev_y2_038,white_salinas_usda,sys4_annual_mustard,2,2005,cover_crop_planting,mustard,October,288,FALSE,NA,NA,NA,Annual: cover crop for Year 3
ev_y2_039,white_salinas_usda,sys5_annual_rye,2,2005,cover_crop_planting,rye,October,288,FALSE,NA,NA,NA,Annual: cover crop for Year 3
# YEAR 3 (veg 2006) - sys1/sys2 still fallow; sys3-5 annual
ev_y3_001,white_salinas_usda,sys3_annual_legumerye,3,2006,tillage,NA,February,46,FALSE,NA,NA,NA,Cover crop incorporated
ev_y3_002,white_salinas_usda,sys4_annual_mustard,3,2006,tillage,NA,February,46,FALSE,NA,NA,NA,Cover crop incorporated
ev_y3_003,white_salinas_usda,sys5_annual_rye,3,2006,tillage,NA,February,46,FALSE,NA,NA,NA,Cover crop incorporated
ev_y3_004,white_salinas_usda,sys2_quad_compost,3,2006,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,Before lettuce
ev_y3_005,white_salinas_usda,sys3_annual_legumerye,3,2006,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,Before lettuce
ev_y3_006,white_salinas_usda,sys4_annual_mustard,3,2006,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,Before lettuce
ev_y3_007,white_salinas_usda,sys5_annual_rye,3,2006,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,Before lettuce
ev_y3_008,white_salinas_usda,sys1_control,3,2006,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Romaine lettuce
ev_y3_009,white_salinas_usda,sys2_quad_compost,3,2006,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Romaine lettuce
ev_y3_010,white_salinas_usda,sys3_annual_legumerye,3,2006,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Romaine lettuce
ev_y3_011,white_salinas_usda,sys4_annual_mustard,3,2006,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Romaine lettuce
ev_y3_012,white_salinas_usda,sys5_annual_rye,3,2006,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Romaine lettuce
ev_y3_013,white_salinas_usda,sys1_control,3,2006,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left
ev_y3_014,white_salinas_usda,sys2_quad_compost,3,2006,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left
ev_y3_015,white_salinas_usda,sys3_annual_legumerye,3,2006,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left
ev_y3_016,white_salinas_usda,sys4_annual_mustard,3,2006,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left
ev_y3_017,white_salinas_usda,sys5_annual_rye,3,2006,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left
ev_y3_018,white_salinas_usda,sys1_control,3,2006,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y3_019,white_salinas_usda,sys2_quad_compost,3,2006,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y3_020,white_salinas_usda,sys3_annual_legumerye,3,2006,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y3_021,white_salinas_usda,sys4_annual_mustard,3,2006,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y3_022,white_salinas_usda,sys5_annual_rye,3,2006,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y3_023,white_salinas_usda,sys1_control,3,2006,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y3_024,white_salinas_usda,sys2_quad_compost,3,2006,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y3_025,white_salinas_usda,sys3_annual_legumerye,3,2006,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y3_026,white_salinas_usda,sys4_annual_mustard,3,2006,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y3_027,white_salinas_usda,sys5_annual_rye,3,2006,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y3_028,white_salinas_usda,sys2_quad_compost,3,2006,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Second annual application
ev_y3_029,white_salinas_usda,sys3_annual_legumerye,3,2006,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Second annual application
ev_y3_030,white_salinas_usda,sys4_annual_mustard,3,2006,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Second annual application
ev_y3_031,white_salinas_usda,sys5_annual_rye,3,2006,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Second annual application
ev_y3_032,white_salinas_usda,sys1_control,3,2006,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
ev_y3_033,white_salinas_usda,sys2_quad_compost,3,2006,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
ev_y3_034,white_salinas_usda,sys3_annual_legumerye,3,2006,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
ev_y3_035,white_salinas_usda,sys4_annual_mustard,3,2006,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
ev_y3_036,white_salinas_usda,sys5_annual_rye,3,2006,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
# sys1/sys2 quadrennial cover crop planted fall 2006 (Year 4 season)
ev_y3_037,white_salinas_usda,sys1_control,3,2006,cover_crop_planting,legume-rye,October,288,FALSE,NA,NA,NA,Quadrennial Year 4: cover crop planted for Year 4 season
ev_y3_038,white_salinas_usda,sys2_quad_compost,3,2006,cover_crop_planting,legume-rye,October,288,FALSE,NA,NA,NA,Quadrennial Year 4: cover crop planted for Year 4 season
ev_y3_039,white_salinas_usda,sys3_annual_legumerye,3,2006,cover_crop_planting,legume-rye,October,288,FALSE,NA,NA,NA,Annual: cover crop for Year 4
ev_y3_040,white_salinas_usda,sys4_annual_mustard,3,2006,cover_crop_planting,mustard,October,288,FALSE,NA,NA,NA,Annual: cover crop for Year 4
ev_y3_041,white_salinas_usda,sys5_annual_rye,3,2006,cover_crop_planting,rye,October,288,FALSE,NA,NA,NA,Annual: cover crop for Year 4
# YEAR 4 (veg 2007) - ALL systems have cover crop this year
ev_y4_001,white_salinas_usda,sys1_control,4,2007,tillage,NA,February,46,FALSE,NA,NA,NA,Spader tillage; cover crop incorporated (quadrennial Year 4)
ev_y4_002,white_salinas_usda,sys2_quad_compost,4,2007,tillage,NA,February,46,FALSE,NA,NA,NA,Spader tillage; cover crop incorporated (quadrennial Year 4)
ev_y4_003,white_salinas_usda,sys3_annual_legumerye,4,2007,tillage,NA,February,46,FALSE,NA,NA,NA,Spader tillage; cover crop incorporated
ev_y4_004,white_salinas_usda,sys4_annual_mustard,4,2007,tillage,NA,February,46,FALSE,NA,NA,NA,Spader tillage; cover crop incorporated
ev_y4_005,white_salinas_usda,sys5_annual_rye,4,2007,tillage,NA,February,46,FALSE,NA,NA,NA,Spader tillage; cover crop incorporated
ev_y4_006,white_salinas_usda,sys2_quad_compost,4,2007,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,Before lettuce
ev_y4_007,white_salinas_usda,sys3_annual_legumerye,4,2007,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,Before lettuce
ev_y4_008,white_salinas_usda,sys4_annual_mustard,4,2007,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,Before lettuce
ev_y4_009,white_salinas_usda,sys5_annual_rye,4,2007,compost_application,urban_yard_waste_compost,May,121,FALSE,7.6,Mg/ha,oven-dry,Before lettuce
ev_y4_010,white_salinas_usda,sys1_control,4,2007,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Romaine lettuce
ev_y4_011,white_salinas_usda,sys2_quad_compost,4,2007,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Romaine lettuce
ev_y4_012,white_salinas_usda,sys3_annual_legumerye,4,2007,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Romaine lettuce
ev_y4_013,white_salinas_usda,sys4_annual_mustard,4,2007,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Romaine lettuce
ev_y4_014,white_salinas_usda,sys5_annual_rye,4,2007,planting,romaine_lettuce,May,135,FALSE,NA,NA,NA,Romaine lettuce
ev_y4_015,white_salinas_usda,sys1_control,4,2007,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left
ev_y4_016,white_salinas_usda,sys2_quad_compost,4,2007,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left
ev_y4_017,white_salinas_usda,sys3_annual_legumerye,4,2007,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left
ev_y4_018,white_salinas_usda,sys4_annual_mustard,4,2007,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left
ev_y4_019,white_salinas_usda,sys5_annual_rye,4,2007,harvest,romaine_lettuce,July,182,FALSE,NA,NA,NA,component=head; stover left
ev_y4_020,white_salinas_usda,sys1_control,4,2007,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y4_021,white_salinas_usda,sys2_quad_compost,4,2007,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y4_022,white_salinas_usda,sys3_annual_legumerye,4,2007,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y4_023,white_salinas_usda,sys4_annual_mustard,4,2007,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y4_024,white_salinas_usda,sys5_annual_rye,4,2007,planting,broccoli,July,196,FALSE,NA,NA,NA,Broccoli transplanted
ev_y4_025,white_salinas_usda,sys1_control,4,2007,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y4_026,white_salinas_usda,sys2_quad_compost,4,2007,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y4_027,white_salinas_usda,sys3_annual_legumerye,4,2007,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y4_028,white_salinas_usda,sys4_annual_mustard,4,2007,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y4_029,white_salinas_usda,sys5_annual_rye,4,2007,harvest,broccoli,October,274,FALSE,NA,NA,NA,component=head/floret; stover left
ev_y4_030,white_salinas_usda,sys2_quad_compost,4,2007,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Second annual application
ev_y4_031,white_salinas_usda,sys3_annual_legumerye,4,2007,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Second annual application
ev_y4_032,white_salinas_usda,sys4_annual_mustard,4,2007,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Second annual application
ev_y4_033,white_salinas_usda,sys5_annual_rye,4,2007,compost_application,urban_yard_waste_compost,October,278,FALSE,7.6,Mg/ha,oven-dry,Second annual application
ev_y4_034,white_salinas_usda,sys1_control,4,2007,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
ev_y4_035,white_salinas_usda,sys2_quad_compost,4,2007,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
ev_y4_036,white_salinas_usda,sys3_annual_legumerye,4,2007,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
ev_y4_037,white_salinas_usda,sys4_annual_mustard,4,2007,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
ev_y4_038,white_salinas_usda,sys5_annual_rye,4,2007,tillage,NA,October,283,FALSE,NA,NA,NA,Subsoiling ~1m
# sys1/sys2 do NOT plant cover crop fall 2007 (Years 5-7 are fallow for quad systems)
ev_y4_039,white_salinas_usda,sys3_annual_legumerye,4,2007,cover_crop_planting,legume-rye,October,288,FALSE,NA,NA,NA,Annual: cover crop for Year 5
